timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-17,,124.00
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-9,,84.90
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-10,,46.90
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-11,,83.70
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-12,,92.70
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-13,,82.00
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-14,,90.80
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-15,,90.40
2026-09-26 17:50:57,pc3,rfsim5g-end-ue-16,,87.30
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-17,,141.00
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-9,,87.60
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-10,,88.60
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-11,,88.30
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-12,,86.70
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-13,,98.00
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-14,,88.10
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-15,,82.40
2026-09-26 17:51:02,pc3,rfsim5g-end-ue-16,,82.60
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-17,,142.00
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-9,,89.50
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-10,,88.70
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-11,,84.90
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-12,,89.60
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-13,,94.00
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-14,,91.50
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-15,,89.00
2026-09-26 17:51:07,pc3,rfsim5g-end-ue-16,,82.30
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-17,,128.00
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-9,,85.20
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-10,,85.20
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-11,,85.70
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-12,,85.70
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-13,,97.00
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-14,,106.00
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-15,,91.10
2026-09-26 17:51:12,pc3,rfsim5g-end-ue-16,,80.50
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-17,0.40,161.00
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-9,0.40,72.70
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-10,0.40,55.50
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-11,,60.90
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-12,,130.00
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-13,,89.10
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-14,,86.40
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-15,,85.60
2026-09-26 17:51:17,pc3,rfsim5g-end-ue-16,,88.00
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-17,0.40,76.40
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-9,0.40,69.40
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-10,0.40,48.30
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-11,1.60,77.90
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-12,1.59,55.00
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-13,0.97,299.00
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-14,,312.00
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-15,,88.50
2026-09-26 17:51:23,pc3,rfsim5g-end-ue-16,,88.30
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-17,0.40,117.00
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-9,0.40,73.90
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-10,0.40,59.90
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-11,1.60,47.10
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-12,1.60,45.90
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-13,1.22,
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-14,2.15,
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-15,1.38,
2026-09-26 17:51:28,pc3,rfsim5g-end-ue-16,,
2026-09-26 17:51:34,pc3,rfsim5g-end-ue-17,0.40,147.00
