timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-3,0.40,87.50
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-4,1.60,60.80
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-5,1.58,40.90
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-6,1.61,46.10
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-7,3.20,30.80
2026-09-26 17:51:44,pc2,rfsim5g-end-ue-8,3.23,29.20
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-1,0.40,40.60
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-2,0.39,51.80
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-3,0.40,82.60
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-4,1.60,53.40
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-5,1.58,40.80
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-6,1.62,64.00
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-7,3.20,69.70
2026-09-26 17:51:50,pc2,rfsim5g-end-ue-8,3.20,66.90
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-1,0.40,28.20
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-2,0.40,38.80
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-3,0.40,42.60
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-4,1.62,24.30
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-5,1.60,45.30
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-6,1.59,37.90
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-7,3.20,70.30
2026-09-26 17:51:55,pc2,rfsim5g-end-ue-8,3.20,51.40
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-1,0.40,36.90
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-2,0.40,62.00
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-3,0.39,63.70
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-4,1.60,34.20
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-5,1.61,30.40
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-6,1.61,87.00
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-7,3.19,70.20
2026-09-26 17:52:00,pc2,rfsim5g-end-ue-8,3.21,44.30
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-1,0.40,57.70
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-2,0.40,69.10
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-3,0.40,61.10
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-4,1.61,61.00
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-5,1.60,50.60
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-6,1.60,38.80
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-7,3.17,45.10
2026-09-26 17:52:05,pc2,rfsim5g-end-ue-8,3.23,57.70
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-1,0.40,55.80
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-2,0.40,42.60
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-3,0.40,69.30
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-4,1.59,72.80
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-5,1.60,53.10
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-6,1.60,60.60
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-7,3.21,50.60
2026-09-26 17:52:11,pc2,rfsim5g-end-ue-8,3.21,46.30
2026-09-26 17:52:16,pc2,rfsim5g-end-ue-1,0.40,29.40
2026-09-26 17:52:16,pc2,rfsim5g-end-ue-2,0.40,72.50
2026-09-26 17:52:16,pc2,rfsim5g-end-ue-3,0.40,54.60
2026-09-26 17:52:16,pc2,rfsim5g-end-ue-4,1.60,67.10
2026-09-26 17:52:16,pc2,rfsim5g-end-ue-5,1.61,42.40
