timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-9,3.21,42.90
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-10,3.19,38.80
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-11,3.17,47.00
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-12,0.80,58.10
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-13,0.80,54.10
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-14,0.82,35.50
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-15,2.01,35.60
2026-09-26 15:43:25,pc3,rfsim5g-end-ue-16,2.00,41.30
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-17,2.00,108.00
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-9,3.20,74.90
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-10,3.20,44.00
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-11,3.14,37.60
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-12,0.81,75.00
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-13,0.80,49.30
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-14,0.81,71.60
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-15,2.01,62.40
2026-09-26 15:43:30,pc3,rfsim5g-end-ue-16,2.02,81.40
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-17,2.04,145.00
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-9,3.19,73.60
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-10,3.19,95.50
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-11,3.28,42.10
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-12,0.80,27.60
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-13,0.80,76.90
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-14,0.80,79.50
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-15,2.01,31.90
2026-09-26 15:43:35,pc3,rfsim5g-end-ue-16,1.99,55.10
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-17,1.82,255.00
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-9,3.20,26.40
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-10,3.12,26.90
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-11,3.20,32.30
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-12,0.80,31.40
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-13,0.81,76.30
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-14,0.78,77.80
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-15,2.00,72.20
2026-09-26 15:43:41,pc3,rfsim5g-end-ue-16,1.97,49.90
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-17,2.00,206.00
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-9,3.20,68.00
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-10,3.20,60.40
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-11,3.14,40.30
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-12,0.80,69.70
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-13,0.80,89.50
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-14,0.81,36.00
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-15,2.00,49.40
2026-09-26 15:43:47,pc3,rfsim5g-end-ue-16,1.97,82.20
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-17,2.00,90.00
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-9,3.20,72.10
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-10,3.21,43.40
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-11,3.22,54.30
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-12,0.80,39.80
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-13,0.79,51.60
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-14,0.79,81.60
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-15,1.98,47.90
2026-09-26 15:43:52,pc3,rfsim5g-end-ue-16,1.97,83.40
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-17,2.01,91.00
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-9,3.20,47.70
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-10,3.20,75.70
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-11,3.22,80.30
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-12,0.81,35.90
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-13,0.79,36.80
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-14,0.78,35.30
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-15,1.99,66.30
2026-09-26 15:43:57,pc3,rfsim5g-end-ue-16,1.99,52.40
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-17,2.00,107.00
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-9,3.21,45.90
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-10,3.21,93.40
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-11,3.16,76.50
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-12,0.80,61.80
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-13,0.79,52.00
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-14,0.80,62.60
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-15,1.98,54.10
2026-09-26 15:44:03,pc3,rfsim5g-end-ue-16,2.01,77.80
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-17,1.99,92.60
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-9,3.21,63.30
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-10,3.16,77.00
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-11,3.28,70.00
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-12,0.81,46.00
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-13,0.79,51.70
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-14,0.80,45.80
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-15,1.98,70.60
2026-09-26 15:44:08,pc3,rfsim5g-end-ue-16,2.01,73.80
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-17,2.21,119.00
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-9,3.22,76.20
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-10,3.17,69.50
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-11,3.19,53.50
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-12,0.80,27.00
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-13,0.81,44.00
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-14,0.80,75.10
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-15,2.00,41.50
2026-09-26 15:44:14,pc3,rfsim5g-end-ue-16,2.00,62.10
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-17,2.04,127.00
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-9,3.22,35.00
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-10,3.18,69.80
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-11,3.10,39.10
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-12,0.80,91.40
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-13,0.82,72.80
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-14,0.78,69.30
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-15,1.98,44.30
2026-09-26 15:44:19,pc3,rfsim5g-end-ue-16,1.97,65.30
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-17,1.94,142.00
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-9,3.21,48.70
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-10,3.23,72.40
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-11,3.18,73.60
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-12,0.80,47.10
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-13,0.81,98.50
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-14,0.80,42.10
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-15,2.00,44.80
2026-09-26 15:44:25,pc3,rfsim5g-end-ue-16,1.96,81.90
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-17,1.98,282.00
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-9,3.18,36.10
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-10,3.21,89.30
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-11,3.20,90.00
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-12,0.80,81.10
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-13,0.80,62.10
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-14,0.78,70.30
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-15,1.97,51.60
2026-09-26 15:44:30,pc3,rfsim5g-end-ue-16,1.98,57.20
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-17,1.88,182.00
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-9,3.19,68.90
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-10,3.20,79.80
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-11,3.09,63.80
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-12,0.80,56.50
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-13,0.79,44.40
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-14,0.79,40.90
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-15,1.97,41.40
2026-09-26 15:44:36,pc3,rfsim5g-end-ue-16,1.99,82.40
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-17,1.86,192.00
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-9,3.22,37.20
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-10,2.96,69.80
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-11,3.17,54.30
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-12,0.80,59.30
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-13,0.80,53.90
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-14,0.80,97.30
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-15,1.98,48.40
2026-09-26 15:44:41,pc3,rfsim5g-end-ue-16,1.96,72.60
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-17,1.99,217.00
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-9,3.23,39.10
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-10,3.17,58.90
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-11,3.18,78.20
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-12,0.79,53.00
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-13,0.78,94.80
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-14,0.77,44.70
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-15,1.98,70.30
2026-09-26 15:44:47,pc3,rfsim5g-end-ue-16,1.99,82.10
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-17,2.01,211.00
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-9,3.21,73.90
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-10,3.20,80.60
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-11,3.12,80.00
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-12,0.80,71.90
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-13,0.80,76.40
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-14,0.82,57.20
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-15,2.01,47.90
2026-09-26 15:44:52,pc3,rfsim5g-end-ue-16,2.00,76.60
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-17,1.99,148.00
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-9,3.17,86.10
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-10,3.13,87.10
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-11,3.28,63.50
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-12,0.81,62.90
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-13,0.81,89.80
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-14,0.81,58.80
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-15,2.00,37.40
2026-09-26 15:44:58,pc3,rfsim5g-end-ue-16,1.97,97.10
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-17,3.10,446.00
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-9,3.20,36.40
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-10,3.27,41.00
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-11,0.81,71.90
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-12,0.69,38.20
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-13,0.72,56.90
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-14,,88.70
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-15,2.00,81.60
2026-09-26 15:45:03,pc3,rfsim5g-end-ue-16,1.98,164.00
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-17,3.21,53.20
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-9,3.18,93.10
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-10,1.32,
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-11,0.80,49.60
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-12,0.81,31.00
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-13,0.80,61.60
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-14,1.99,69.60
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-15,1.99,45.00
2026-09-26 15:45:09,pc3,rfsim5g-end-ue-16,1.98,563.00
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-17,3.18,81.60
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-9,3.13,79.00
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-10,3.22,35.00
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-11,0.81,76.20
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-12,0.80,35.60
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-13,0.82,74.90
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-14,1.97,70.00
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-15,2.00,77.10
2026-09-26 15:45:16,pc3,rfsim5g-end-ue-16,2.95,93.40
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-17,3.17,72.00
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-9,3.17,70.60
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-10,3.17,41.70
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-11,0.79,49.80
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-12,0.81,41.70
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-13,0.80,72.60
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-14,2.00,53.90
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-15,1.99,60.70
2026-09-26 15:45:21,pc3,rfsim5g-end-ue-16,2.04,59.60
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-17,3.24,109.00
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-9,3.18,52.70
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-10,3.20,50.40
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-11,0.80,23.60
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-12,0.80,77.00
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-13,0.78,75.60
2026-09-26 15:45:27,pc3,rfsim5g-end-ue-14,2.00,72.40
