timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-17,,120.00
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-9,,87.30
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-10,,87.50
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-11,,83.10
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-12,,84.70
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-13,,50.60
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-14,,91.20
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-15,,81.70
2026-09-26 15:10:04,pc3,rfsim5g-end-ue-16,,92.50
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-17,2.10,210.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-9,,270.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-10,,271.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-11,,327.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-12,,323.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-13,,187.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-14,,185.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-15,,186.00
2026-09-26 15:10:09,pc3,rfsim5g-end-ue-16,,185.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-17,4.19,140.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-9,3.15,63.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-10,1.05,130.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-11,1.05,71.70
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-12,1.05,135.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-13,,22.00
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-14,,91.60
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-15,,84.50
2026-09-26 15:10:15,pc3,rfsim5g-end-ue-16,,113.00
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-17,3.15,188.00
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-9,3.15,80.10
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-10,1.05,72.80
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-11,0.00,88.70
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-12,1.05,88.80
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-13,2.10,144.00
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-14,2.09,168.00
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-15,0.00,464.00
2026-09-26 15:10:20,pc3,rfsim5g-end-ue-16,,442.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-17,3.15,145.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-9,3.15,68.40
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-10,1.04,150.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-11,1.05,143.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-12,1.04,107.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-13,2.10,142.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-14,2.10,140.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-15,2.08,195.00
2026-09-26 15:10:26,pc3,rfsim5g-end-ue-16,3.15,152.00
2026-09-26 15:10:31,pc3,rfsim5g-end-ue-17,3.15,94.30
