timestamp,host,ue_container,achieved_mbps,rtt_ms
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-1,,84.50
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-2,,81.00
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-3,,87.30
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-4,,82.50
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-5,,82.20
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-6,,87.10
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-7,,92.40
2026-09-26 15:42:37,pc2,rfsim5g-end-ue-8,,48.40
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-1,1.82,332.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-2,2.41,290.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-3,,308.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-4,,291.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-5,,96.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-6,,93.00
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-7,,89.80
2026-09-26 15:42:42,pc2,rfsim5g-end-ue-8,,85.10
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-1,1.98,81.40
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-2,3.20,100.00
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-3,2.39,950.00
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-4,1.95,925.00
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-5,0.81,96.20
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-6,,47.80
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-7,,93.80
2026-09-26 15:42:48,pc2,rfsim5g-end-ue-8,,83.30
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-1,2.03,61.60
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-2,3.21,76.00
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-3,4.77,72.60
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-4,4.37,64.80
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-5,0.81,53.40
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-6,0.81,68.50
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-7,0.81,94.30
2026-09-26 15:42:54,pc2,rfsim5g-end-ue-8,2.03,93.00
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-1,2.00,54.00
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-2,3.21,36.60
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-3,3.19,51.70
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-4,3.15,69.20
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-5,0.80,38.30
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-6,0.80,71.10
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-7,0.80,51.90
2026-09-26 15:42:59,pc2,rfsim5g-end-ue-8,2.00,66.70
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-1,2.03,68.10
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-2,3.20,66.40
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-3,3.19,69.30
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-4,3.21,60.30
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-5,0.80,66.70
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-6,0.80,38.30
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-7,0.82,48.70
2026-09-26 15:43:05,pc2,rfsim5g-end-ue-8,2.01,48.70
2026-09-26 15:43:10,pc2,rfsim5g-end-ue-1,1.95,77.40
2026-09-26 15:43:10,pc2,rfsim5g-end-ue-2,3.19,42.80
2026-09-26 15:43:10,pc2,rfsim5g-end-ue-3,3.18,87.50
2026-09-26 15:43:10,pc2,rfsim5g-end-ue-4,3.22,65.80
